Team,Logo_URL
Cal St. East Bay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/cal-st-east-bay.svg
Daemen,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/daemen.svg
Nova Southeastern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/nova-southeastern.svg
Washburn,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/washburn.svg
Gannon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/gannon.svg
Anderson (SC),https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/anderson-sc.svg
Okla. Baptist,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/okla-baptist.svg
Walsh,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/walsh.svg
Felician,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/felician.svg
Black Hills St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/black-hills-st.svg
West Liberty,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/west-liberty.svg
Lander,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/lander.svg
Lubbock Christian,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/lubbock-christian.svg
Point Loma,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/point-loma.svg
West Ala.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/west-ala.svg
Eastern N.M.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/eastern-nm.svg
Fairmont St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fairmont-st.svg
Palm Beach Atl.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/palm-beach-atl.svg
Saint Martin's,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-martins.svg
Virginia Union,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/virginia-union.svg
DBU,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/dallas-baptist.svg
Michigan Tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/michigan-tech.svg
Northern Mich.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/northern-mich.svg
Grand Valley St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/grand-valley-st.svg
St. Cloud St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/st-cloud-st.svg
Fayetteville St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fayetteville-st.svg
Ouachita Baptist,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/ouachita-baptist.svg
Rockhurst,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/rockhurst.svg
Saint Anselm,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/st-anselm.svg
Harding,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/harding.svg
Indiana (PA),https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/indiana-pa.svg
Lenoir-Rhyne,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/lenoir-rhyne.svg
Southern Nazarene,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-nazarene.svg
St. Edward's,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/st-edwards.svg
West Florida,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/west-florida.svg
CSU Pueblo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/colorado-st-pueblo.svg
Clark Atlanta,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/clark-atlanta.svg
McKendree,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/mckendree.svg
North Georgia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/north-georgia.svg
Tuskegee,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/tuskegee.svg
Western N.M.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/western-nm.svg
UNC Pembroke,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-pembroke.svg
West Chester,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/west-chester.svg
Cal St. Dom. Hills,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/cal-st-dom-hills.svg
California (PA),https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/california-pa.svg
Catawba,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/catawba.svg
Columbus St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/columbus-st.svg
Lake Erie,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/lake-erie.svg
Young Harris,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/young-harris.svg
Miles,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/miles.svg
Cal St. East Bay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/cal-st-east-bay.svg
Daemen,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/daemen.svg
Nova Southeastern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/nova-southeastern.svg
Washburn,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/washburn.svg
Gannon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/gannon.svg
Anderson (SC),https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/anderson-sc.svg
Okla. Baptist,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/okla-baptist.svg
Walsh,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/walsh.svg
Felician,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/felician.svg
Black Hills St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/black-hills-st.svg
West Liberty,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/west-liberty.svg
Lander,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/lander.svg
Lubbock Christian,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/lubbock-christian.svg
Point Loma,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/point-loma.svg
West Ala.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/west-ala.svg
Eastern N.M.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/eastern-nm.svg
Fairmont St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fairmont-st.svg
Palm Beach Atl.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/palm-beach-atl.svg
Saint Martin's,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-martins.svg
Virginia Union,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/virginia-union.svg
DBU,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/dallas-baptist.svg
Michigan Tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/michigan-tech.svg
Northern Mich.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/northern-mich.svg
Grand Valley St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/grand-valley-st.svg
St. Cloud St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/st-cloud-st.svg
Fayetteville St.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fayetteville-st.svg
Ouachita Baptist,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/ouachita-baptist.svg
Rockhurst,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/rockhurst.svg
Saint Anselm,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/st-anselm.svg
Harding,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/harding.svg
Indiana (PA),https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/indiana-pa.svg
Lenoir-Rhyne,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/lenoir-rhyne.svg
Southern Nazarene,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-nazarene.svg
St. Edward's,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/st-edwards.svg
West Florida,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/west-florida.svg
CSU Pueblo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/colorado-st-pueblo.svg
Clark Atlanta,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/clark-atlanta.svg
McKendree,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/mckendree.svg
North Georgia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/north-georgia.svg
Tuskegee,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/tuskegee.svg
Western N.M.,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/western-nm.svg
UNC Pembroke,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/unc-pembroke.svg
